 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Median
855,722.169,255,255,255,1023.835,1124.467,103.342,1008.991,1108.658,29.314,32.832,31.770,28.942,103.036,255
856,502.871,255,255,255,1775.413,1120.257,90.420,1761.190,1109.245,28.728,22.865,30.313,21.122,152.858,255
857,901.250,255,255,255,331.419,1126.563,133.250,311.316,1110.417,43.385,35.763,36.347,31.571,170.030,255
858,688.140,255,255,255,680.005,1126.132,110.402,663.671,1111.004,34.004,32.832,32.329,27.102,32.070,255
859,1449.493,255,255,255,173.009,1134.417,153.409,149.502,1111.590,47.489,43.385,46.291,39.868,154.514,255
860,868.940,255,255,255,890.408,1132.726,116.809,873.560,1114.521,35.177,34.591,37.444,29.548,133.195,255
861,1614.482,255,255,255,986.684,1145.045,174.029,963.261,1115.108,43.971,54.524,50.079,41.048,82.983,255
862,793.320,255,255,255,761.491,1135.482,115.033,745.164,1116.866,31.659,39.281,40.752,24.786,122.581,255
863,1392.091,255,255,255,1907.158,1143.742,157.044,1886.068,1116.866,43.385,48.661,44.786,39.576,129.349,255
864,886.126,255,255,255,1817.276,1134.006,117.899,1799.298,1118.039,34.004,33.418,34.885,32.342,161.553,255
865,730.418,255,255,255,514.250,1133.888,104.372,498.339,1118.625,31.073,30.487,31.529,29.496,150.899,255
866,748.979,255,255,255,722.008,1136.241,106.600,706.469,1118.625,31.073,34.004,32.650,29.207,94.659,255
867,603.927,255,255,255,63.901,1139.352,110.721,51.593,1120.384,23.451,36.349,34.350,22.386,97.625,255
868,1251.163,255,255,255,1494.040,1143.068,144.205,1474.498,1120.384,40.453,42.799,42.875,37.155,124.661,255
869,981.338,255,255,255,1960.325,1137.494,130.738,1941.765,1120.384,36.936,38.108,36.960,33.806,42.020,255
870,1083.081,255,255,255,1404.352,1144.166,131.474,1384.797,1124.488,41.040,41.626,37.720,36.559,28.478,255
871,199.705,255,255,255,81.285,1140.623,66.031,76.803,1126.247,9.381,26.383,25.848,9.837,89.885,255
872,1132.578,255,255,255,439.183,1148.153,139.456,418.605,1129.178,45.144,38.108,40.401,35.693,173.568,255
873,411.096,255,255,255,839.514,1142.292,82.295,829.002,1129.178,21.692,25.796,24.995,20.941,97.243,255
874,930.467,255,255,255,2042.507,1156.275,139.206,2026.775,1129.765,29.314,45.730,42.506,27.872,98.954,255
875,705.670,255,255,255,100.976,1145.890,104.313,87.356,1130.351,29.314,33.418,31.026,28.959,95.004,255
876,247.483,255,255,255,474.957,1146.435,71.943,467.853,1132.110,17.588,26.383,25.050,12.579,103.428,255
877,745.886,255,255,255,692.674,1149.285,111.290,673.638,1133.869,36.936,30.487,33.884,28.028,21.794,255
878,1417.870,255,255,255,636.926,1158.261,155.469,615.009,1135.627,43.971,47.489,44.988,40.129,42.438,255
879,561.992,255,255,255,14.886,1154.162,123.987,1.759,1137.386,29.900,29.900,27.806,25.733,38.036,255
880,798.132,255,255,255,746.408,1158.316,116.088,731.679,1137.386,32.832,41.040,37.477,27.116,105.383,255
881,957.277,255,255,255,1222.965,1160.241,134.186,1198.946,1137.973,42.212,43.385,36.012,33.845,135.703,255
882,383.255,255,255,255,544.120,1153.713,86.725,535.275,1139.731,21.106,29.314,26.428,18.465,88.916,255
883,638.643,255,255,255,598.455,1157.130,120.813,582.178,1139.731,31.073,35.177,30.644,26.535,25.630,255
884,1252.538,255,255,255,1662.206,1162.810,146.408,1642.761,1140.904,40.453,45.144,45.508,35.044,127.091,255
885,284.949,255,255,255,1154.805,1150.122,77.521,1140.318,1142.077,25.796,19.347,25.440,14.261,154.416,255
886,779.571,255,255,255,1698.257,1156.730,111.668,1681.456,1142.663,34.591,28.728,35.585,27.893,170.303,255
887,1153.201,255,255,255,1106.708,1164.673,140.628,1088.139,1143.835,36.349,47.489,46.733,31.419,96.711,255
888,546.525,255,255,255,1429.277,1160.752,94.707,1413.525,1144.422,29.314,26.969,27.342,25.450,23.906,255
889,765.478,255,255,255,151.477,1161.875,117.378,134.258,1145.008,36.349,33.418,36.528,26.682,141.923,255
890,1130.859,255,255,255,1624.624,1168.699,145.225,1599.376,1145.008,43.385,49.834,49.390,29.153,50.725,255
891,1628.231,255,255,255,258.226,1173.362,209.539,230.409,1145.594,55.697,58.628,64.171,32.306,132.454,255
892,898.500,255,255,255,366.589,1165.659,121.475,350.596,1146.181,31.659,35.763,36.050,31.734,101.542,255
893,678.515,255,255,255,2005.142,1164.018,104.941,1989.253,1148.526,31.073,30.487,30.939,27.923,162.497,255
894,1073.457,255,255,255,1752.484,1168.457,130.134,1733.635,1149.112,37.522,39.867,38.867,35.165,103.023,255
895,615.270,255,255,255,291.450,1165.872,97.965,279.070,1149.698,27.555,32.245,30.634,25.572,80.885,255
896,199.705,255,255,255,1264.919,1160.097,63.877,1254.056,1152.043,21.692,16.416,19.444,13.077,14.617,255
897,603.583,255,255,255,1040.568,1170.673,97.622,1026.579,1156.734,28.142,28.142,28.773,26.709,40.126,255
898,735.230,255,255,255,1863.580,1173.630,114.665,1843.269,1156.734,35.763,30.487,34.741,26.945,14.723,255
899,229.265,255,255,255,816.352,1166.398,61.390,806.723,1157.320,19.347,19.347,21.476,13.592,139.609,255
900,509.402,255,255,255,867.125,1173.753,104.313,853.626,1157.320,27.555,31.659,27.456,23.623,114.919,255
901,510.433,255,255,255,1329.345,1170.637,89.389,1314.443,1159.079,28.728,23.451,28.604,22.721,10.266,255
902,908.124,255,255,255,1897.650,1179.166,119.331,1880.791,1162.010,34.004,33.418,36.665,31.536,156.539,255
903,535.869,255,255,255,53.898,1176.416,95.193,41.040,1163.183,25.210,29.314,27.381,24.918,122.099,255
904,698.451,255,255,255,528.732,1181.007,103.828,513.583,1163.769,28.142,32.245,32.655,27.233,67.264,255
905,518.339,255,255,255,699.990,1177.621,94.482,687.122,1164.355,24.624,26.969,27.622,23.893,107.439,255
906,766.509,255,255,255,1085.398,1184.833,118.350,1071.723,1164.942,30.487,41.626,39.759,24.547,114.401,255
907,1683.914,255,255,255,128.993,1190.655,197.588,100.254,1166.114,51.006,58.042,55.365,38.725,129.678,255
908,477.779,255,255,255,488.109,1178.831,83.669,475.474,1166.114,25.210,25.210,28.083,21.662,42.496,255
909,146.084,255,255,255,8.857,1174.299,48.242,0.586,1169.046,16.416,11.139,16.413,11.332,177.734,255
910,252.982,255,255,255,806.806,1178.222,69.539,794.412,1169.046,24.624,18.175,23.849,13.506,156.139,255
911,744.511,255,255,255,1807.274,1187.302,118.124,1789.918,1169.046,34.004,34.004,35.379,26.794,35.580,255
912,114.461,255,255,255,1717.734,1176.515,51.926,1709.597,1170.218,17.588,11.726,14.102,10.334,159.679,255
913,820.474,255,255,255,1176.165,1186.702,109.632,1157.320,1171.391,35.177,31.073,33.614,31.078,179.743,255
914,397.347,255,255,255,335.036,1186.181,87.412,321.869,1172.563,25.796,27.555,24.893,20.324,109.712,255
915,542.744,255,255,255,1429.561,1182.895,96.341,1412.939,1173.149,32.832,21.106,31.390,22.015,179.106,255
916,762.385,255,255,255,1127.642,1192.363,111.859,1110.417,1174.322,34.004,35.763,34.214,28.372,57.008,255
917,404.909,255,255,255,569.980,1190.097,86.499,558.726,1174.908,23.451,26.969,25.613,20.128,115.943,255
918,111.711,255,255,255,908.288,1181.957,45.494,898.770,1176.667,17.002,10.553,17.373,8.187,149.309,255
919,885.095,255,255,255,767.683,1196.089,130.880,748.095,1180.185,38.695,31.659,39.059,28.852,157.722,255
920,589.834,255,255,255,1932.000,1192.863,94.506,1916.555,1180.185,29.314,26.969,28.215,26.617,13.394,255
921,397.347,255,255,255,11.820,1195.038,83.100,0.586,1180.771,20.520,27.555,27.732,18.243,70.817,255
922,1458.430,255,255,255,191.895,1210.076,165.017,170.022,1182.530,46.903,52.765,57.232,32.446,120.201,255
923,813.600,255,255,255,959.606,1197.638,122.672,941.568,1182.530,36.349,32.832,34.060,30.414,27.955,255
924,488.779,255,255,255,1028.939,1196.859,106.256,1013.095,1183.116,30.487,30.487,26.651,23.351,45.624,255
925,455.093,255,255,255,371.365,1193.668,83.443,358.218,1183.703,24.624,23.451,25.817,22.444,142.160,255
926,946.622,255,255,255,1768.829,1209.232,129.271,1749.464,1186.634,41.040,41.040,38.366,31.415,117.653,255
927,915.686,255,255,255,904.413,1205.478,134.373,884.699,1188.979,36.349,35.177,39.060,29.849,137.682,255
928,935.279,255,255,255,1363.056,1208.908,125.645,1346.103,1191.910,35.177,36.349,36.051,33.032,97.171,255
929,578.835,255,255,255,236.277,1207.473,110.260,222.201,1192.497,27.555,31.659,32.476,22.694,122.952,255
930,718.388,255,255,255,1892.581,1207.530,106.433,1877.274,1193.083,31.073,29.900,31.641,28.909,162.556,255
931,505.277,255,255,255,1217.805,1207.286,90.670,1203.050,1194.842,29.314,26.383,29.046,22.149,156.752,255
932,632.456,255,255,255,2031.678,1208.567,103.367,2013.291,1195.428,34.591,27.555,32.758,24.582,19.510,255
933,1831.716,255,255,255,608.627,1228.824,188.492,582.178,1196.014,55.697,60.387,70.274,33.187,132.431,255
934,1027.054,255,255,255,1431.036,1214.523,131.022,1411.766,1196.014,36.936,39.281,37.756,34.635,103.933,255
935,868.596,255,255,255,1717.437,1217.284,130.277,1700.803,1196.601,34.591,39.867,36.511,30.291,89.699,255
936,1185.168,255,255,255,1544.113,1220.617,141.315,1523.746,1198.360,38.695,43.971,48.970,30.815,122.689,255
937,116.523,255,255,255,320.329,1206.299,45.779,312.488,1198.946,15.243,13.484,16.950,8.753,35.589,255
938,672.672,255,255,255,400.534,1217.287,106.943,385.187,1198.946,28.142,35.177,31.769,26.959,110.902,255
939,1313.377,255,255,255,1827.421,1227.615,162.102,1806.920,1201.877,39.281,56.283,52.694,31.735,70.220,255
940,455.781,255,255,255,68.403,1220.210,96.106,53.352,1205.981,26.969,28.142,26.991,21.500,42.786,255
941,775.790,255,255,255,543.749,1220.365,117.212,525.308,1205.981,35.177,30.487,35.346,27.946,153.576,255
942,925.998,255,255,255,1085.270,1227.753,127.730,1067.619,1207.740,34.591,43.385,36.000,32.750,71.654,255
943,991.994,255,255,255,760.466,1227.895,131.591,737.542,1208.326,42.799,36.349,37.586,33.604,164.330,255
944,619.051,255,255,255,1483.865,1222.446,95.016,1468.049,1208.326,31.073,29.314,29.902,26.359,42.280,255
945,1416.152,255,255,255,440.753,1229.387,148.895,415.087,1209.499,50.420,37.522,51.035,35.330,179.722,255
946,1072.425,255,255,255,1324.814,1229.427,130.218,1306.822,1209.499,39.281,40.453,38.919,35.085,43.582,255
947,719.075,255,255,255,700.852,1226.551,112.036,685.363,1211.258,29.900,32.245,33.149,27.620,128.767,255
948,320.009,255,255,255,2010.995,1224.431,80.519,1998.634,1211.844,25.210,23.451,24.440,16.671,149.162,255
949,180.456,255,255,255,799.551,1223.480,57.102,792.066,1213.017,17.002,18.761,20.305,11.316,130.090,255
950,142.303,255,255,255,317.484,1222.712,50.729,311.902,1214.189,11.139,18.175,18.098,10.011,108.342,255
951,980.307,255,255,255,1250.803,1237.071,134.280,1235.295,1215.362,32.832,45.730,40.729,30.646,101.342,255
952,1110.923,255,255,255,865.434,1236.459,141.291,844.245,1216.534,38.695,40.453,37.982,37.241,141.579,255
953,1182.762,255,255,255,1619.161,1240.033,151.633,1598.204,1218.293,41.626,53.352,45.007,33.460,57.892,255
954,362.631,255,255,255,1930.931,1231.384,73.886,1920.072,1218.879,22.279,24.038,23.673,19.504,119.475,255
955,153.989,255,255,255,653.188,1231.312,51.867,645.496,1221.225,14.657,19.347,17.587,11.148,114.895,255
956,729.043,255,255,255,246.106,1243.667,109.028,231.581,1225.915,29.900,36.936,34.946,26.563,111.768,255
957,659.954,255,255,255,942.289,1247.360,109.146,928.084,1227.674,29.314,34.591,31.926,26.319,115.353,255
958,933.904,255,255,255,1419.958,1247.903,131.591,1403.558,1227.674,33.418,41.040,38.363,30.995,91.582,255
959,424.845,255,255,255,2005.657,1243.971,90.385,1993.944,1228.260,26.383,29.900,28.018,19.307,116.753,255
960,754.823,255,255,255,728.360,1247.910,114.808,714.091,1228.846,29.900,36.936,33.049,29.080,62.643,255
961,817.037,255,255,255,1792.190,1241.841,136.826,1765.880,1228.846,45.730,29.314,43.023,24.180,161.383,255
962,1660.885,255,255,255,1008.504,1258.642,178.199,982.608,1229.433,49.834,58.628,63.444,33.332,124.642,255
963,1056.614,255,255,255,1895.038,1259.475,133.936,1876.687,1234.709,34.004,47.489,45.375,29.649,101.987,255
964,616.988,255,255,255,1347.031,1250.816,103.484,1329.100,1235.295,33.418,29.314,31.800,24.703,175.394,255
965,583.647,255,255,255,1378.644,1250.646,95.360,1364.864,1235.295,29.314,30.487,28.940,25.678,99.993,255
966,939.747,255,255,255,167.614,1256.620,132.018,149.502,1235.882,35.177,42.212,39.590,30.223,104.514,255
967,659.954,255,255,255,1559.764,1260.443,109.632,1544.852,1244.090,31.659,34.591,38.194,22.000,117.197,255
968,684.702,255,255,255,373.191,1261.132,108.660,357.632,1244.676,32.245,30.487,36.528,23.866,138.847,255
969,1029.116,255,255,255,824.294,1263.969,126.617,804.378,1246.435,38.108,39.281,38.371,34.148,134.866,255
970,850.722,255,255,255,1232.068,1268.363,117.899,1220.052,1247.021,28.728,40.453,38.889,27.853,101.147,255
971,620.426,255,255,255,268.563,1262.331,109.798,252.687,1247.607,34.004,31.659,32.576,24.249,31.938,255
972,1285.192,255,255,255,1728.985,1275.045,157.554,1706.666,1248.194,42.212,53.352,53.519,30.576,65.061,255
973,783.008,255,255,255,1100.394,1270.667,120.636,1082.276,1250.539,36.936,37.522,34.219,29.134,30.204,255
974,1068.301,255,255,255,571.220,1269.737,145.402,551.691,1251.711,39.281,41.626,40.325,33.731,61.892,255
